_id;amparo_legal;codigo_infracao;descricao_infracao;escopo_autuacao;mes;quantidade_autos;uf;m�s;ano
604f7a48a60b104ea49b9736;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""E"" DA RESOLUÇÃO ANTT Nº 233/2003 ";105;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""E"" DA RES.ANTT Nº 233/2003 - NÃO OBSERVAR O PRAZO MÍNIMO ESTABELECIDO PARA INÍCIO DA VENDA DE BILHETE DE PASSAGEM.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;4;Ac;1;2018
604f7a48a60b104ea49b9737;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""C"" DA RESOLUÇÃO ANTT Nº 233/2003";203;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO II, ALÍNEA ""C"" DA RES.ANTT Nº 233/2003 - NÃO OBSERVAR OS PROCEDIMENTOS RELATIVOS AO PESSOAL DA TRANSPORTADORA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AC;1;2018
604f7a48a60b104ea49b9738;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""D"" DA RESOLUÇÃO ANTT Nº 233/2003";304;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""D"" DA RES.ANTT Nº 233/2003 - ALTERAR, SEM PRÉVIA COMUNICAÇÃO A ANTT, O ESQUEMA OPERACIONAL DA LINHA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;2;AC;1;2018
604f7a48a60b104ea49b9739;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""Q"" DA RESOLUÇÃO ANTT Nº 233/2003";117;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""Q"" DA RES.ANTT Nº 233/2003 - INC. PELA RES.ANTT Nº 4282/2014 - NÃO DIVULGAR INFORMAÇÕES OU FORNECER FORMULÁRIOS A QUE ESTEJA OBRIGADO, AOS USUÁRIOS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;5;AC;1;2018
604f7a48a60b104ea49b973a;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""S"" DA RESOLUÇÃO ANTT Nº 233/2003 ";319;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""S"" DA RES.ANTT Nº 233/2003 - INCLUÍDO PELA RESOLUÇÃO ANTT Nº 4130/2013 - NÃO OBSERVAR AS NORMAS E PROCEDIMENTOS DE INSCRIÇÃO INDICATIVA DA CATEGORIA E DE CADASTRAMENTO DOS ÔNIBUS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AC;1;2018
604f7a48a60b104ea49b973b;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""H"" DA RESOLUÇÃO ANTT Nº 233/2003 ";108;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""H"" DA RES.ANTT Nº 233/2003 - NÃO PORTAR NO VEÍCULO FORMULÁRIO PARA REGISTRO DE RECLAMAÇÕES DE DANOS OU EXTRAVIO DE BAGAGENS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;aC;1;2018
604f7a48a60b104ea49b973c;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""B"" DA RESOLUÇÃO ANTT Nº 233/2003";202;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO II, ALÍNEA ""B"" DA RES.ANTT Nº 233/2003 - RETARDAR, INJUSTIFICADAMENTE, A PRESTAÇÃO DE TRANSPORTE PARA OS PASSAGEIROS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;2;AC;1;2018
604f7a48a60b104ea49b973d;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""M"" DA RESOLUÇÃO ANTT Nº 233/2003";313;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""M"" DA RES.ANTT Nº 233/2003 - ALT. PELA RES. ANTT Nº 5063/16 - NÃO DISPONIBILIZAR OS ASSENTOS PREVISTOS PARA TRANSPORTE GRATUITO E COM DESCONTO NO VALOR DE PASSAGEM, NA QUANTIDADE E PRAZO ESTABELECIDOS NA LEGISLAÇÃO ESPECÍFICA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;3;AC;1;2018
604f7a48a60b104ea49b973e;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""N"" DA RESOLUÇÃO ANTT Nº 233/2003 ";314;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""N"" DA RES.ANTT Nº 233/2003 - ALT. PELA RES.ANTT Nº 5063/16 - NÃO CONCEDER O DESCONTO MÍNIMO DE CINQUENTA POR CENTO DO VALOR DA PASSAGEM PREVISTO EM LEGISLAÇÃO ESPECÍFICA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;3;AL;1;2018
604f7a48a60b104ea49b973f;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""B"" DA RESOLUÇÃO ANTT Nº 233/2003";102;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""B"" DA RES.ANTT Nº 233/2003 - EMITIR BILHETE SEM OBSERVÂNCIA DAS ESPECIFICAÇÕES.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AL;1;2018
604f7a48a60b104ea49b9740;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""B"" DA RESOLUÇÃO ANTT Nº 233/2003";202;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO II, ALÍNEA ""B"" DA RES.ANTT Nº 233/2003 - RETARDAR, INJUSTIFICADAMENTE, A PRESTAÇÃO DE TRANSPORTE PARA OS PASSAGEIROS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AL;1;2018
