_id;amparo_legal;codigo_infracao;descricao_infracao;escopo_autuacao;mes;;quantidade_autos;uf;m�s;ano
604f7a61a60b104ea49b9fdc;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;1;MS;1;2019
604f7a61a60b104ea49b9fdd;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO IV, ALÍNEA ""A"" DA RESOLUÇÃO ANTT Nº 233/2003 ";401;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO IV, ALÍNEA ""A"" DA RES.ANTT Nº 233/2003 - EXECUTAR SERVIÇOS DE TRANSPORTE RODOVIÁRIO INTERESTADUAL OU INTERNACIONAL DE PASSAGEIROS SEM PRÉVIA AUTORIZAÇÃO OU PERMISSÃO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;;1;MT;1;2019
604f7a61a60b104ea49b9fde;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""K"" DA RESOLUÇÃO ANTT Nº 233/2003";111;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""K""DA RES.ANTT Nº 233/2003 - TRAFEGAR COM VEÍCULO EM SERVIÇO, APRESENTANDO DEFEITO EM EQUIPAMENTO OU ITEM OBRIGATÓRIO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;;1;PA;1;2019
604f7a61a60b104ea49b9fdf;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO IV, ALÍNEA ""A"" DA RESOLUÇÃO ANTT Nº 233/2003 ";401;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO IV, ALÍNEA ""A"" DA RES.ANTT Nº 233/2003 - EXECUTAR SERVIÇOS DE TRANSPORTE RODOVIÁRIO INTERESTADUAL OU INTERNACIONAL DE PASSAGEIROS SEM PRÉVIA AUTORIZAÇÃO OU PERMISSÃO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;;2;PA;1;2019
604f7a61a60b104ea49b9fe0;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;2;PR;1;2019
604f7a61a60b104ea49b9fe1;ARTIGO 3º, ALÍNEA A, INCISO 5 DO DECRETO 5462/2005;3105;ARTIGO 3º - ALÍNEA A - INCISO 5 - REALIZAR UM SERVIÇO DIFERENTE DO AUTORIZADO;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;5;PR;1;2019
604f7a61a60b104ea49b9fe2;ARTIGO 4º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;4103;ARTIGO 4º - ALÍNEA A - INCISO 3 - NÃO CUMPRIR OS HORÁRIOS DE INÍCIO DO SERVIÇO E/OU ALTERÁ-LOS SEM CAUSA JUSTIFICADA;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;1;RJ;1;2019
604f7a61a60b104ea49b9fe3;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""R"" DA RESOLUÇÃO ANTT Nº 233/2003";318;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""R"" DA RES.ANTT Nº 233/2003 - INCLUÍDO PELA RESOLUÇÃO ANTT Nº 3871/2012 - NÃO OBSERVAR AS NORMAS E PROCEDIMENTOS NECESSÁRIOS PARA GARANTIR CONDIÇÕES DE ACESSIBILIDADE AOS VEÍCULOS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;;1;RS;1;2019
604f7a61a60b104ea49b9fe4;ARTIGO 5º, ALÍNEA A, INCISO 2 DO DECRETO 5462/2005;5102;ARTIGO 5º - ALÍNEA A - INCISO 2 - NÃO ENTREGAR COMPROVANTE PELO TRANSPORTE DE BAGAGENS;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;1;RS;1;2019
604f7a61a60b104ea49b9fe5;ARTIGO 5º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;5103;ARTIGO 5º - ALÍNEA A - INCISO 3 - NÃO PORTAR OS DOCUMENTOS DE TRANSPORTE DE PORTE OBRIGATÓRIO;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;9;RS;1;2019
604f7a61a60b104ea49b9fe6;ARTIGO 5º, ALÍNEA A, INCISO 5 DO DECRETO 5462/2005;5105;ARTIGO 5º - ALÍNEA A - INCISO 5 - NEGAR O ACESSO AO SISTEMA DE RECLAMAÇÕES OU NÃO OBSERVAR AS NORMAS DE PUBLICIDADE E USO DO MESMO;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;1;RS;1;2019
604f7a61a60b104ea49b9fe7;ARTIGO 3º, ALÍNEA A, INCISO 5 DO DECRETO 5462/2005;3105;ARTIGO 3º - ALÍNEA A - INCISO 5 - REALIZAR UM SERVIÇO DIFERENTE DO AUTORIZADO;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;4;SC;1;2019
604f7a61a60b104ea49b9fe8;ARTIGO 3º, ALÍNEA A, INCISO 6 DO DECRETO 5462/2005;3106;ARTIGO 3º - ALÍNEA A - INCISO 6 - EFETUAR TRANSPORTE COM VEÍCULOS NÃO HABILITADOS;Transporte Rodoviário Internacional de Passageiros;JANEIRO;;1;SC;1;2019
604f7a61a60b104ea49b9fe9;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;2;PR;2;2019
604f7a61a60b104ea49b9fea;ARTIGO 2º, ALÍNEA A, INCISO 1 DO DECRETO 5462/2005;2101;ARTIGO 2º - ALÍNEA A - INCISO 1 - EFETUAR TRANSPORTE INTERNACIONAL TERRESTRE SEM ESTAR AUTORIZADO;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;3;RS;2;2019
